"dates","days","is_holiday"
"01-12-2025","Monday","N"
"02-12-2025","Tuesday","N"
"03-12-2025","Wednesday","N"
"04-12-2025","Thursday","N"
"05-12-2025","Friday","N"
"06-12-2025","Saturday","Y"
"07-12-2025","Sunday","Y"
"08-12-2025","Monday","N"
"09-12-2025","Tuesday","N"
"10-12-2025","Wednesday","N"
"11-12-2025","Thursday","N"
"12-12-2025","Friday","N"
"13-12-2025","Saturday","Y"
"14-12-2025","Sunday","Y"
"15-12-2025","Monday","N"
"16-12-2025","Tuesday","N"
"17-12-2025","Wednesday","N"
"18-12-2025","Thursday","N"
"19-12-2025","Friday","N"
"20-12-2025","Saturday","Y"
"21-12-2025","Sunday","Y"
"22-12-2025","Monday","N"
"23-12-2025","Tuesday","N"
"24-12-2025","Wednesday","N"
"25-12-2025","Thursday","Y"
"26-12-2025","Friday","N"
"27-12-2025","Saturday","Y"
"28-12-2025","Sunday","Y"
"29-12-2025","Monday","N"
"30-12-2025","Tuesday","N"
"31-12-2025","Wednesday","Y"
